CollectionID	sample	Box	PrepDate	BodySize	ColonySize_L	ColonySize_U	ColonySize	Sample_or_Control	Genus	Species	Number_Bees	Country	Area	Preservation	Continent	Region
239	M069	6	6/11/23	4.578	1070	3000	Large	True_Sample	Plebeia	droryana	3	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
239	M068	6	6/11/23	4.578	1070	3000	Large	True_Sample	Plebeia	droryana	3	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
239	M067	6	6/11/23	4.578	1070	3000	Large	True_Sample	Plebeia	droryana	3	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
240	M064	6	6/11/23	3.682	300	2500	Medium	True_Sample	Friesella	schrottkyi	5	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
240	M065	6	6/11/23	3.682	300	2500	Medium	True_Sample	Friesella	schrottkyi	5	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
240	M066	6	6/11/23	3.682	300	2500	Medium	True_Sample	Friesella	schrottkyi	5	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
242	M048	6	3/11/23	11.6	150	800	Small	True_Sample	Eomelipona	bicolor	1	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
243	M051	6	3/11/23	4.596	800	1600	Medium	True_Sample	Frieseomelitta	varia	1	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
244	M041	6	1/11/23	3.288	200	900	Small	True_Sample	Plebeia	minima	5	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
244	M040	6	1/11/23	3.288	200	900	Small	True_Sample	Plebeia	minima	5	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
244	M042	6	1/11/23	3.288	200	900	Small	True_Sample	Plebeia	minima	5	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
244	M043	6	1/11/23	3.288	200	900	Small	True_Sample	Plebeia	minima	5	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
247	M044	6	1/11/23	6.853	24	423	Small	True_Sample	Scaptotrigona	xanthotricha	1	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
248	M073	6	6/11/23	4.843	2000	3000	Large	True_Sample	Nannotrigona	testaceicornis	2	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
248	M074	6	6/11/23	4.843	2000	3000	Large	True_Sample	Nannotrigona	testaceicornis	2	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
258	M002	2	30/10/23	4.475	1000	5000	Large	True_Sample	Tetragonula	laeviceps	5	Indonesia	Wuasa	Ethanol	Asia	Indo-Malay-Australasia
262	M003	2	30/10/23	4.238	1000	5000	Large	True_Sample	Tetragonula	laeviceps	5	Indonesia	Sulawesi, Rahmat	Ethanol	Asia	Indo-Malay-Australasia
268	M004	2	30/10/23	4.78	1000	5000	Large	True_Sample	Tetragonula	laeviceps	5	Malaysia	Panabo	Ethanol	Asia	Indo-Malay-Australasia
294	M129	9	8/11/23	10.952	300	2000	Medium	True_Sample	Melikerria	beecheii	3	Mexico	Tapachula	Ethanol/Pinned	N_C_America	Neotropics
294	M130	9	8/11/23	10.952	300	2000	Medium	True_Sample	Melikerria	beecheii	3	Mexico	Tapachula	Ethanol/Pinned	N_C_America	Neotropics
294	M131	9	8/11/23	10.952	300	2000	Medium	True_Sample	Melikerria	beecheii	3	Mexico	Tapachula	Ethanol/Pinned	N_C_America	Neotropics
296	M171	15	8/11/23	5.171	700	3000	Large	True_Sample	Nannotrigona	perilampoides	5	Mexico	Tapachula	Ethanol	N_C_America	Neotropics
296	M172	15	8/11/23	5.171	700	3000	Large	True_Sample	Nannotrigona	perilampoides	5	Mexico	Tapachula	Ethanol	N_C_America	Neotropics
296	M173	15	8/11/23	5.171	700	3000	Large	True_Sample	Nannotrigona	perilampoides	5	Mexico	Tapachula	Ethanol	N_C_America	Neotropics
296	M174	15	8/11/23	5.171	700	3000	Large	True_Sample	Nannotrigona	perilampoides	5	Mexico	Tapachula	Ethanol	N_C_America	Neotropics
297	M140	11	8/11/23	5.404	2000	5201	Large	True_Sample	Scaptotrigona	pectoralis	5	Mexico	Tapachula	Ethanol	N_C_America	Neotropics
297	M141	11	8/11/23	5.404	2000	5201	Large	True_Sample	Scaptotrigona	pectoralis	5	Mexico	Tapachula	Ethanol	N_C_America	Neotropics
297	M142	11	8/11/23	5.404	2000	5201	Large	True_Sample	Scaptotrigona	pectoralis	5	Mexico	Tapachula	Ethanol	N_C_America	Neotropics
300	M160	14	8/11/23	3.566	300	8000	Large	True_Sample	Tetragonisca	angustula	5	Mexico	Tapachula	Ethanol	N_C_America	Neotropics
311	M021	3	1/11/23	5.153	NA	5000	Large	True_Sample	Heterotrigona	itama	5	Malaysia	Kedah, Kuala Muda	Ethanol	Asia	Indo-Malay-Australasia
311	M022	3	1/11/23	5.153	NA	5000	Large	True_Sample	Heterotrigona	itama	5	Malaysia	Kedah, Kuala Muda	Ethanol	Asia	Indo-Malay-Australasia
329	M005	2	30/10/23	4.57	1000	5000	Large	True_Sample	Tetragonula	laeviceps	5	Malaysia	Kedah, Kuala Muda	Ethanol	Asia	Indo-Malay-Australasia
331	M161	14	8/11/23	8.595	NA	10000	XLarge	True_Sample	Duckeola	ghilianii	1	Brazil	Amazonas, Santa Helena	Ethanol	South_America	Neotropics
