SampleID	CollectionID	Bee_Genus	Bee_Species	Box	PrepDate	BodySize_IT_uM	ColonySize_L	ColonySize_U	ColonySize
M054	448	Frieseomelitta	tataira	6	03/11/2023	4.938		1900	Medium 
M055	448	Frieseomelitta	tataira	6	03/11/2023	4.938		1900	Medium 
M056	448	Frieseomelitta	tataira	6	03/11/2023	4.938		1900	Medium 
M025	223	Plebeia	australis	4	01/11/2023	4.494		2000	Medium 
M026	223	Plebeia	australis	4	01/11/2023	4.494		2000	Medium 
M027	223	Plebeia	australis	4	01/11/2023	4.494		2000	Medium 
M028	223	Plebeia	australis	4	01/11/2023	4.494		2000	Medium 
M029	223	Plebeia	australis	4	01/11/2023	4.494		2000	Medium 
M129	294	Melipona	beecheii	9	08/11/2023	10.952	300	2000	Medium 
M130	294	Melipona	beecheii	9	08/11/2023	10.952	300	2000	Medium 
M131	294	Melipona	beecheii	9	08/11/2023	10.952	300	2000	Medium 
M126	121	Michmelia	scutellaris	9	08/11/2023	12.367	1000	2000	Medium 
M127	121	Michmelia	scutellaris	9	08/11/2023	12.367	1000	2000	Medium 
M128	121	Michmelia	scutellaris	9	08/11/2023	12.367	1000	2000	Medium 
M184	601	Tetragonula	iridipennis	16	08/11/2023	4.571		2500	Medium 
M057	461	Eomelipona	marginata	6	03/11/2023	8.293	160	2500	Medium 
M058	461	Eomelipona	marginata	6	03/11/2023	8.293	160	2500	Medium 
M059	461	Eomelipona	marginata	6	03/11/2023	8.288	160	2500	Medium 
M060	461	Eomelipona	marginata	6	03/11/2023	8.288	160	2500	Medium 
M061	472	Schwarziana	quadripunctata	6	06/11/2023	6.591	500	2500	Medium 
M064	240	Friesella	schrottkyi	6	06/11/2023	3.682	300	2500	Medium 
M065	240	Friesella	schrottkyi	6	06/11/2023	3.682	300	2500	Medium 
M066	240	Friesella	schrottkyi	6	06/11/2023	3.682	300	2500	Medium 
M062	445	Friesella	schrottkyi	6	06/11/2023	3.566	300	2500	Medium 
M063	445	Friesella	schrottkyi	6	06/11/2023	3.566	300	2500	Medium 
M097	52	Trigona	amalthea	7	06/11/2023	9.374		3000	Large 
M098	204	Trigona	amalthea	7	06/11/2023	8.405		3000	Large 
M099	208	Trigona	amalthea	7	06/11/2023	7.81		3000	Large 
M100	207	Trigona	amalthea	7	06/11/2023	7.738		3000	Large 
M101	207	Trigona	amalthea	7	06/11/2023	7.738		3000	Large 
M067	239	Plebeia	droryana	6	06/11/2023	4.578	1070	3000	Large 
M068	239	Plebeia	droryana	6	06/11/2023	4.578	1070	3000	Large 
M069	239	Plebeia	droryana	6	06/11/2023	4.578	1070	3000	Large 
M075	464	Geotrigona	mombuca	6	06/11/2023	5.840	2000	3000	Large 
M076	464	Geotrigona	mombuca	6	06/11/2023	5.840	2000	3000	Large 
M077	464	Geotrigona	mombuca	6	06/11/2023	5.840	2000	3000	Large 
M019	389	Sundatrigona 	moorei	3	01/11/2023	3.565	1000	3000	Large 
M171	296	Nannotrigona	perilampoides	15	08/11/2023	5.171	700	3000	Large 
M172	296	Nannotrigona	perilampoides	15	08/11/2023	5.171	700	3000	Large 
M173	296	Nannotrigona	perilampoides	15	08/11/2023	5.171	700	3000	Large 
M174	296	Nannotrigona	perilampoides	15	08/11/2023	5.171	700	3000	Large 
M170	112	Nannotrigona	perilampoides	15	08/11/2023	5.045	700	3000	Large 
M132	123	Michmelia	seminigra	9	08/11/2023	11.234	1000	3000	Large 
M133	123	Michmelia	seminigra	9	08/11/2023	11.234	1000	3000	Large 
M134	123	Michmelia	seminigra	9	08/11/2023	11.234	1000	3000	Large 
M135	123	Michmelia	seminigra	9	08/11/2023	11.234	1000	3000	Large 
M136	123	Michmelia	seminigra	9	08/11/2023	11.234	1000	3000	Large 
M073	248	Nannotrigona	testaceicornis	6	06/11/2023	4.843	2000	3000	Large 
M074	248	Nannotrigona	testaceicornis	6	06/11/2023	4.843	2000	3000	Large 
M070	450	Nannotrigona	testaceicornis	6	06/11/2023	4.460	2000	3000	Large 
M071	450	Nannotrigona	testaceicornis	6	06/11/2023	4.460	2000	3000	Large 
M072	450	Nannotrigona	testaceicornis	6	06/11/2023	4.460	2000	3000	Large 
