sample	CollectionID	Genus	Species	Box	PrepDate	BodySize(IT)uM	ColonySize(L)	ColonySize(U)	ColonySize	Sample_or_Control 
M077	464	Geotrigona	mombuca	6	6/11/23	5.840	2000	3000	Large 	True_Sample
M019	389	Sundatrigona 	moorei	3	1/11/23	3.565	1000	3000	Large 	True_Sample
M171	296	Nannotrigona	perilampoides	15	8/11/23	5.171	700	3000	Large 	True_Sample
M172	296	Nannotrigona	perilampoides	15	8/11/23	5.171	700	3000	Large 	True_Sample
M173	296	Nannotrigona	perilampoides	15	8/11/23	5.171	700	3000	Large 	True_Sample
M174	296	Nannotrigona	perilampoides	15	8/11/23	5.171	700	3000	Large 	True_Sample
M170	112	Nannotrigona	perilampoides	15	8/11/23	5.045	700	3000	Large 	True_Sample
M132	123	Michmelia	seminigra	9	8/11/23	11.234	1000	3000	Large 	True_Sample
M133	123	Michmelia	seminigra	9	8/11/23	11.234	1000	3000	Large 	True_Sample
M134	123	Michmelia	seminigra	9	8/11/23	11.234	1000	3000	Large 	True_Sample
M135	123	Michmelia	seminigra	9	8/11/23	11.234	1000	3000	Large 	True_Sample
M136	123	Michmelia	seminigra	9	8/11/23	11.234	1000	3000	Large 	True_Sample
M073	248	Nannotrigona	testaceicornis	6	6/11/23	4.843	2000	3000	Large 	True_Sample
M074	248	Nannotrigona	testaceicornis	6	6/11/23	4.843	2000	3000	Large 	True_Sample
M070	450	Nannotrigona	testaceicornis	6	6/11/23	4.460	2000	3000	Large 	True_Sample
M071	450	Nannotrigona	testaceicornis	6	6/11/23	4.460	2000	3000	Large 	True_Sample
M072	450	Nannotrigona	testaceicornis	6	6/11/23	4.460	2000	3000	Large 	True_Sample
M157	135		weyrauchi	14	8/11/23	4.725	2000	3000	Large 	True_Sample
M153	136	Tetragonisca	weyrauchi	14	8/11/23	4.268	2000	3000	Large 	True_Sample
M154	136	Tetragonisca	weyrauchi	14	8/11/23	4.268	2000	3000	Large 	True_Sample
M155	136	Tetragonisca	weyrauchi	14	8/11/23	4.268	2000	3000	Large 	True_Sample
M156	136	Tetragonisca	weyrauchi	14	8/11/23	4.268	2000	3000	Large 	True_Sample
M185	632	Nogueirapis	mirandula	16	8/11/23	4.349	2281	4076	Large 	True_Sample
M102	172	Trigona	hypogea	7	6/11/23	4.14	1200	5000	Large 	True_Sample
M103	172	Trigona	hypogea	7	6/11/23	4.14	1200	5000	Large 	True_Sample
M104	172	Trigona	hypogea	7	6/11/23	4.14	1200	5000	Large 	True_Sample
M105	172	Trigona	hypogea	7	6/11/23	4.14	1200	5000	Large 	True_Sample
M106	172	Trigona	hypogea	7	6/11/23	4.14	1200	5000	Large 	True_Sample
M020	491	Heterotrigona	itama	3	1/11/23	5.44		5000	Large 	True_Sample
M021	311	Heterotrigona	itama	3	1/11/23	5.153		5000	Large 	True_Sample
M022	311	Heterotrigona	itama	3	1/11/23	5.153		5000	Large 	True_Sample
M024	505	Heterotrigona	itama	3	1/11/23	4.992		5000	Large 	True_Sample
M023	388	Heterotrigona	itama	3	1/11/23	4.618		5000	Large 	True_Sample
M004	268	Tetragonula	laeviceps	2	30/10/23	4.78	1000	5000	Large 	True_Sample
M005	329	Tetragonula	laeviceps	2	30/10/23	4.57	1000	5000	Large 	True_Sample
M002	258	Tetragonula	laeviceps	2	30/10/23	4.475	1000	5000	Large 	True_Sample
M001	481	Tetragonula	laeviceps	2	30/10/23	4.244	1000	5000	Large 	True_Sample
M003	262	Tetragonula	laeviceps	2	30/10/23	4.238	1000	5000	Large 	True_Sample
M007	226	Tetragonula	mellipes	2	30/10/23	3.919	1000	5000	Large 	True_Sample
M009	226	Tetragonula	mellipes	2	30/10/23	3.919	1000	5000	Large 	True_Sample
M006	226	Tetragonula	mellipes	2	30/10/23	3.842	1000	5000	Large 	True_Sample
M008	226	Tetragonula	mellipes	2	30/10/23	3.842	1000	5000	Large 	True_Sample
M010	226	Tetragonula	mellipes	2	30/10/23	3.842	1000	5000	Large 	True_Sample
M138	162	Scaptotrigona	pectoralis	11	8/11/23	5.738	2000	5201	Large 	True_Sample
M139	162	Scaptotrigona	pectoralis	11	8/11/23	5.738	2000	5201	Large 	True_Sample
M140	297	Scaptotrigona	pectoralis	11	8/11/23	5.404	2000	5201	Large 	True_Sample
M141	297	Scaptotrigona	pectoralis	11	8/11/23	5.404	2000	5201	Large 	True_Sample
M142	297	Scaptotrigona	pectoralis	11	8/11/23	5.404	2000	5201	Large 	True_Sample
M175	114	Oxytrigona	mellicolor	15	8/11/23	4.957		5442	Large 	True_Sample
M176	114	Oxytrigona	mellicolor	15	8/11/23	4.957		5442	Large 	True_Sample
M178	114	Oxytrigona	mellicolor	15	8/11/23	4.957		5442	Large 	True_Sample
M179	114	Oxytrigona	mellicolor	15	8/11/23	4.957		5442	Large 	True_Sample
M177	114	Oxytrigona	mellicolor	15	8/11/23	4.957		5442	Large 	True_Sample
M011	229	Tetragonula	hockingsi	2	1/11/23	4.026	3000	7000	Large 	True_Sample
M012	229	Tetragonula	hockingsi	2	1/11/23	4.026	3000	7000	Large 	True_Sample
M013	229	Tetragonula	hockingsi	2	1/11/23	4.026	3000	7000	Large 	True_Sample
M014	229	Tetragonula	hockingsi	2	1/11/23	4.026	3000	7000	Large 	True_Sample
M015	229	Tetragonula	hockingsi	2	1/11/23	4.026	3000	7000	Large 	True_Sample
M181	119	Lestrimelitta	limao	15	8/11/23	6.041	2000	7000	Large 	True_Sample
M182	119	Lestrimelitta	limao	15	8/11/23	6.041	2000	7000	Large 	True_Sample
M078	469	Lestrimelitta	limao	6	6/11/23	5.804	2000	7000	Large 	True_Sample
M079	449	Lestrimelitta	limao	6	6/11/23	5.804	2000	7000	Large 	True_Sample
M180	40	Lestrimelitta	limao	15	8/11/23	5.636	2000	7000	Large 	True_Sample
M159	134	Tetragonisca	angustula	14	8/11/23	3.893	300	8000	Large 	True_Sample
M158	132	Tetragonisca	angustula	14	8/11/23	3.833	300	8000	Large 	True_Sample
M080	467	Tetragonisca	angustula	6	6/11/23	3.737	300	8000	Large 	True_Sample
M081	451	Tetragonisca	angustula	6	6/11/23	3.737	300	8000	Large 	True_Sample
M160	300	Tetragonisca	angustula	14	8/11/23	3.566	300	8000	Large 	True_Sample
M118	58	Trigona	cilipes	8	8/11/23	5.865	400	8000	Large 	True_Sample
