SampleID;Mean_Conc
M114;118271,8836
M115;5289,0151
M115;5289,0151
M115;5289,0151
M116;6889,1868
M116;6889,1868
M116;6889,1868
M117;43563,6666
M117;43563,6666
M117;43563,6666
M118;968,2059
M118;968,2059
M118;968,2059
M119;280,8743
M119;280,8743
M119;280,8743
M120;7804,2232
M120;7804,2232
M120;7804,2232
M121;411868,9204
M121;411868,9204
M121;411868,9204
M122;1052404,648
M122;1052404,648
M122;1052404,648
M123;1096,6057
M123;1096,6057
M123;1096,6057
M124;6455,3222
M124;6455,3222
M124;6455,3222
M125;22322,7253
M125;22322,7253
M125;22322,7253
M126;498742,8237
M126;498742,8237
M126;498742,8237
M127;5750,4288
M127;5750,4288
M127;5750,4288
M128;32866,0435
M128;32866,0435
M128;32866,0435
M129;19938,8592
M129;19938,8592
M129;19938,8592
M130;2259,3508
M130;2259,3508
M130;2259,3508
M131;212718,8495
M131;212718,8495
M131;212718,8495
M132;64632,4264
M132;64632,4264
M132;64632,4264
M133;3122307,086
M133;3122307,086
M133;3122307,086
M134;123769,5682
M134;123769,5682
M134;123769,5682
M135;16886,8657
M135;16886,8657
M135;16886,8657
M136;14081,739
M136;14081,739
M136;14081,739
M137;8016,5112
M137;8016,5112
M137;8016,5112
M138;13171,7554
M138;13171,7554
M138;13171,7554
M139;1570,6869
M139;1570,6869
M139;1570,6869
M140;1404,758
M140;1404,758
M140;1404,758
M141;132,0471
M141;132,0471
M141;132,0471
M142;1590,4558
M142;1590,4558
M142;1590,4558
M143;26318,3326
M143;26318,3326
M143;26318,3326
M144;938,2513
M144;938,2513
M144;938,2513
M145;431,9817
M145;431,9817
M145;431,9817
M146;5172,5882
M146;5172,5882
M146;5172,5882
M147;2910,5228
M147;2910,5228
M147;2910,5228
M148;44,8411
M148;44,8411
M148;44,8411
M149;4126,1217
M149;4126,1217
M149;4126,1217
M150;9415,0105
M150;9415,0105
M150;9415,0105
M151;40456,2416
M151;40456,2416
M151;40456,2416
M152;2060,5637
M152;2060,5637
M152;2060,5637
M153;7088,9358
M153;7088,9358
M153;7088,9358
M154;14982,3086
M154;14982,3086
M154;14982,3086
M155;3591,1282
M155;3591,1282
M155;3591,1282
M156;13644,1354
M156;13644,1354
M156;13644,1354
M157;610,8267
M157;610,8267
M157;610,8267
M158;49958,9932
M158;49958,9932
M158;49958,9932
M159;44,855
M159;44,855
M159;44,855
M160;13360,9607
M160;13360,9607
M160;13360,9607
M161;70846,6831
M161;70846,6831
M161;70846,6831
M162;21340,3649
M162;21340,3649
M162;
M163;3687,3978
M163;3687,3978
M163;3687,3978
M164;17831,9475
M164;17831,9475
M164;17831,9475
M165;248,3795
M165;248,3795
M165;248,3795
M166;20756,1383
M166;20756,1383
M166;20756,1383
M167;2267,7364
M167;2267,7364
M167;2267,7364
M168;7605,7071
M168;7605,7071
M168;7605,7071
M169;927,5573
M169;927,5573
M169;927,5573
M170;8880,0924
M170;8880,0924
M170;8880,0924
M171;469288,9325
M171;469288,9325
M171;469288,9325
M172;1775,5884
M172;1775,5884
M172;1775,5884
M173;3571,1144
M173;3571,1144
M173;3571,1144
M174;7119,3319
M174;7119,3319
M174;7119,3319
M175;33085,597
M175;33085,597
M175;33085,597
M176;112,2474
M176;112,2474
M176;112,2474
M178;3676,0201
M178;3676,0201
M178;3676,0201
M179;31338,7789
M179;31338,7789
M179;31338,7789
M180;8788,3747
M180;8788,3747
M180;8788,3747
M181;10593,0164
M181;10593,0164
M181;10593,0164
M182;92,6743
M182;92,6743
M182;92,6743
M183;51304,3952
M183;51304,3952
M183;51304,3952
M184;22,7629
M184;22,7629
M184;22,7629
M185;9525,7331
M185;9525,7331
M185;9525,7331
M186;97351,2607
M186;97351,2607
M186;97351,2607
M187;103484,3976
M187;103484,3976
M187;103484,3976
MP1ExBl;0,043
MP1ExBl;0,043
MP1ExBl;0,043
MP2ExBl;15,2275
MP2ExBl;15,2275
MP2ExBl;15,2275
